,m,MR,ACC,MTS
0,15000,0,98.64,53.46
1,15000,0,99.02,53.16
2,15000,0,98.95,51.91
3,15000,0,99.01,48.47
4,15000,0,98.89,47.57
5,15000,0,98.94,53.23
6,15000,0,98.88,50.07
7,15000,0,98.97,52.1
8,15000,0,99.16,47.85
9,15000,0,99.02,52.48
