,m,MR,ACC,MTS
0,1000,0,98.94,88.2
1,2000,0,98.92,94.45
2,3000,0,98.79,95.77
3,4000,0,98.69,96.8
4,5000,0,99.03,97.52
5,6000,0,99.0,97.4
6,7000,0,98.65,97.76
7,8000,0,98.76,98.0
8,9000,0,98.68,97.8
9,10000,0,98.38,97.85
10,11000,0,98.63,98.26
11,12000,0,98.25,97.46
12,13000,0,98.16,97.82
13,14000,0,98.31,97.91
14,15000,0,98.08,97.53
15,16000,0,98.0,97.49
16,17000,0,97.93,97.6
17,18000,0,97.33,97.15
18,19000,0,97.04,96.78
