,m,MR,ACC,MTS
0,1500,0,98.65,15.8
1,1500,0,98.86,19.6
2,1500,0,98.96,12.2
3,1500,0,98.88,17.33
4,1500,0,98.93,15.61
5,1500,0,98.91,18.9
6,1500,0,98.88,19.31
7,1500,0,99.02,16.55
8,1500,0,99.11,22.94
9,1500,0,99.03,15.62
