,m,MR,ACC,MTS
0,15000,0,98.98,98.04
1,15000,0,98.78,97.89
2,15000,0,98.84,98.3
3,15000,0,98.69,98.44
4,15000,0,98.53,98.29
5,15000,0,98.43,98.08
6,15000,0,98.63,98.48
7,15000,0,98.48,98.29
8,15000,0,98.3,98.33
9,15000,0,98.35,98.26
