,m,MR,ACC,MTS
0,1000,0,98.92,91.31
1,2000,0,98.96,96.21
2,3000,0,98.99,96.61
3,4000,0,98.89,97.5
4,5000,0,98.89,97.86
5,6000,0,98.99,98.05
6,7000,0,98.73,97.95
7,8000,0,99.0,98.33
8,9000,0,98.63,98.29
9,10000,0,98.76,98.15
10,11000,0,98.88,98.47
11,12000,0,98.45,98.27
12,13000,0,98.6,98.44
13,14000,0,98.49,98.55
14,15000,0,98.71,98.31
15,16000,0,98.07,97.95
16,17000,0,98.46,98.28
17,18000,0,97.97,98.16
18,19000,0,97.96,98.1
