,m,MR,ACC,MTS
0,1000,0,99.03,78.53
1,2000,0,98.92,86.69
2,3000,0,99.0,88.82
3,4000,0,98.87,91.6
4,5000,0,99.01,92.42
5,6000,0,98.83,92.83
6,7000,0,98.75,92.7
7,8000,0,98.87,93.42
8,9000,0,98.69,93.12
9,10000,0,98.45,93.71
10,11000,0,98.7,93.85
11,12000,0,98.41,94.25
12,13000,0,98.29,93.63
13,14000,0,98.37,94.39
14,15000,0,98.09,93.62
15,16000,0,97.93,93.39
16,17000,0,97.89,94.01
17,18000,0,97.52,93.58
18,19000,0,97.56,93.58
