,m,MR,ACC,MTS
0,1500,0,98.86,82.82
1,1500,0,98.99,87.04
2,1500,0,99.14,89.24
3,1500,0,98.86,89.91
4,1500,0,98.97,90.1
5,1500,0,99.04,89.82
6,1500,0,99.04,90.69
7,1500,0,98.93,90.57
8,1500,0,98.74,91.51
9,1500,0,99.0,91.49
