,m,MR,ACC,MTS
0,1000,0,98.86,96.1
1,2000,0,98.93,97.51
2,3000,0,98.98,97.91
3,4000,0,98.92,97.83
4,5000,0,98.98,98.41
5,6000,0,99.05,98.57
6,7000,0,98.94,98.45
7,8000,0,99.04,98.54
8,9000,0,98.92,98.55
9,10000,0,98.76,98.44
10,11000,0,98.81,98.65
11,12000,0,98.67,98.81
12,13000,0,98.39,98.52
13,14000,0,98.54,98.72
14,15000,0,98.42,98.61
15,16000,0,98.14,98.27
16,17000,0,98.05,98.38
17,18000,0,97.94,98.35
18,19000,0,97.63,98.0
