,m,MR,ACC,MTS
0,1000,0,98.84,96.41
1,6000,0,98.94,97.8
2,11000,0,98.95,98.35
3,16000,0,99.02,98.68
4,1000,0,98.91,98.64
5,6000,0,98.83,98.75
6,11000,0,98.94,98.66
7,16000,0,98.63,98.52
8,1000,0,98.73,98.75
9,6000,0,98.71,98.6
10,11000,0,98.84,98.56
11,16000,0,98.66,98.51
